City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Hokitika,NZ,-42.7167,170.9667,67.71,70,12,10.2,few clouds
305,Halifax,CA,44.6453,-63.5724,32.0,72,42,8.05,scattered clouds
306,Katsuura,JP,35.1333,140.3,49.98,38,1,17.43,clear sky
307,Nouadhibou,MR,20.931,-17.0347,62.58,67,0,10.36,clear sky
308,Mozarlandia,BR,-14.7447,-50.5706,71.33,97,100,5.53,overcast clouds
309,Russell,US,32.3502,-85.1999,29.48,68,0,0.0,clear sky
310,Dingle,PH,10.9995,122.6711,75.18,86,100,13.56,light rain
311,Yerbogachen,RU,61.2767,108.0108,-8.12,98,91,5.64,overcast clouds
312,Salalah,OM,17.0151,54.0924,69.89,73,0,3.44,clear sky
313,Hanna,CA,51.6334,-111.9018,1.85,86,49,10.0,scattered clouds
314,Lumphat,KH,13.4878,106.9816,84.33,31,35,4.41,scattered clouds
315,Canar,EC,-2.55,-78.9333,48.24,94,100,1.63,light rain
316,Bonfim,BR,3.0833,-59.95,75.88,80,98,9.64,overcast clouds
317,Garden City,US,42.3256,-83.331,14.2,75,100,14.97,overcast clouds
318,Itupiranga,BR,-5.1347,-49.3267,77.32,96,100,1.83,overcast clouds
319,Whitianga,NZ,-36.8333,175.7,69.57,73,45,4.36,scattered clouds
320,Esperance,AU,-33.8667,121.9,71.92,66,44,14.47,scattered clouds
321,Port Augusta,AU,-32.5,137.7667,97.99,22,36,7.99,light rain
322,Yaransk,RU,57.3033,47.8861,11.93,97,98,6.11,overcast clouds
323,Dmitrov,RU,56.35,37.5167,5.81,100,99,1.36,overcast clouds
324,La Ronge,CA,55.1001,-105.2842,-0.15,78,20,8.05,few clouds
325,Luderitz,NA,-26.6481,15.1594,62.33,71,55,14.03,broken clouds
326,Karachi,PK,24.9056,67.0822,62.42,55,3,8.05,smoke
327,Taltal,CL,-25.4,-70.4833,63.75,79,0,3.06,clear sky
328,Lopukhiv,UA,48.3653,23.9638,41.83,89,100,4.09,overcast clouds
329,Port Blair,IN,11.6667,92.75,86.04,62,40,10.36,scattered clouds
330,Hambantota,LK,6.1241,81.1185,82.74,89,40,3.44,scattered clouds
331,Isangel,VU,-19.55,169.2667,81.12,76,100,1.68,overcast clouds
332,Kollo,NE,13.3043,2.339,66.63,29,28,10.31,scattered clouds
333,Fuxin,CN,42.0156,121.6589,24.4,26,0,6.33,clear sky
